f 1m 1f 2m 2f 3m 3f 4m 4f 5m 5f jV0300m jV0300f jV0500m jV0500f 
2.65609 0.0507998 83.2505 0.0517509 84.1042 0 0 0.130954 -56.9 1 -0 0.000126974 -55.4304 1.66222e-05 -92.9625
2.71859 0.05198 83.093 0.0529534 83.9667 0 0 0.1353 -56.4007 1 -0 0.000131265 -54.9262 1.70101e-05 -93.0313
2.78256 0.0531868 82.9318 0.0541832 83.8261 0 0 0.139825 -55.9026 1 -0 0.000135736 -54.424 1.7407e-05 -93.1015
2.84804 0.054421 82.7669 0.0554407 83.6823 0 0 0.144537 -55.4061 1 -0 0.000140395 -53.9242 1.78129e-05 -93.1734
2.91505 0.0556829 82.5983 0.0567266 83.5352 0 0 0.149447 -54.9118 1 -0 0.00014525 -53.4273 1.82281e-05 -93.2468
2.98365 0.0569731 82.4258 0.0580414 83.3847 0 0 0.154561 -54.4199 1 -0 0.000150312 -52.9337 1.86528e-05 -93.3219
3.05386 0.0582923 82.2493 0.0593858 83.2308 0 0 0.159892 -53.931 1 -0 0.00015559 -52.4439 1.90872e-05 -93.3987
3.12572 0.059641 82.0689 0.0607602 83.0735 0 0 0.165448 -53.4455 1 -0 0.000161093 -51.9583 1.95315e-05 -93.4771
3.19927 0.0610199 81.8843 0.0621654 82.9125 0 0 0.17124 -52.9638 1 -0 0.000166834 -51.4772 1.99859e-05 -93.5573
3.27455 0.0624294 81.6955 0.0636019 82.7479 0 0 0.17728 -52.4864 1 -0 0.000172822 -51.0013 2.04507e-05 -93.6393
3.3516 0.0638702 81.5024 0.0650703 82.5796 0 0 0.183579 -52.0137 1 -0 0.00017907 -50.5309 2.09259e-05 -93.7231
3.43047 0.065343 81.305 0.0665712 82.4075 0 0 0.190149 -51.5462 1 -0 0.00018559 -50.0664 2.1412e-05 -93.8087
3.51119 0.0668482 81.1031 0.0681054 82.2315 0 0 0.197003 -51.0843 1 -0 0.000192394 -49.6084 2.1909e-05 -93.8962
3.59381 0.0683866 80.8966 0.0696734 82.0516 0 0 0.204153 -50.6285 1 -0 0.000199496 -49.1572 2.24173e-05 -93.9857
3.67838 0.0699588 80.6855 0.0712758 81.8677 0 0 0.211615 -50.1792 1 -0 0.000206909 -48.7133 2.2937e-05 -94.077
3.76494 0.0715653 80.4696 0.0729133 81.6796 0 0 0.219403 -49.7368 1 -0 0.000214649 -48.2771 2.34683e-05 -94.1704
3.85353 0.0732068 80.2489 0.0745865 81.4874 0 0 0.22753 -49.3018 1 -0 0.00022273 -47.849 2.40116e-05 -94.2657
3.94421 0.074884 80.0233 0.0762962 81.2908 0 0 0.236015 -48.8747 1 -0 0.000231167 -47.4295 2.45671e-05 -94.3631
4.03702 0.0765974 79.7926 0.0780428 81.09 0 0 0.244871 -48.4558 1 -0 0.000239978 -47.0188 2.51349e-05 -94.4626
4.13201 0.0783478 79.5567 0.0798272 80.8846 0 0 0.254118 -48.0456 1 -0 0.00024918 -46.6176 2.57154e-05 -94.5642
4.22924 0.0801357 79.3156 0.0816499 80.6748 0 0 0.263773 -47.6444 1 -0 0.000258789 -46.226 2.63088e-05 -94.6679
4.32876 0.0819617 79.0692 0.0835115 80.4603 0 0 0.273854 -47.2527 1 -0 0.000268826 -45.8445 2.69153e-05 -94.7738
4.43062 0.0838266 78.8173 0.0854129 80.2412 0 0 0.28438 -46.8709 1 -0 0.00027931 -45.4735 2.75353e-05 -94.882
4.53488 0.0857309 78.5599 0.0873545 80.0172 0 0 0.295373 -46.4993 1 -0 0.00029026 -45.1133 2.81689e-05 -94.9924
