F 1m 1f 2m 2f 3m 3f 4m 4f 5m 5f 6m 6f 7m 7f 8m 8f 9m 9f 10m 10f jL0400m jL0400f jL0600m jL0600f jL0809m jL0809f jV0300m jV0300f jV0500m jV0500f jV1000m jV1000f
1.3849e-002 1.00000e+000 58.310 9.96236e-001 -4.973 1.00000e+000 -0.000 8.66874e-002 -158.353 1.00000e+000 116.620 7.62935e-003 179.874 7.93800e-003 163.845 4.59800e+001 -30.444 4.56320e+001 -30.434 1.00000e+000 0.000 2.49059e-001 111.647 2.19197e-002 89.874 1.00000e+000 -121.690 2.16719e-002 -94.973 2.49059e-001 -68.353 2.19197e-002 -90.126
1.4175e-002 1.00000e+000 58.310 9.96057e-001 -5.089 1.00000e+000 -0.000 8.87114e-002 -158.469 1.00000e+000 116.620 7.99554e-003 179.871 8.30456e-003 164.192 4.49234e+001 -30.414 4.45672e+001 -30.404 1.00000e+000 0.000 2.49014e-001 111.531 2.24436e-002 89.871 1.00000e+000 -121.690 2.21778e-002 -95.089 2.49014e-001 -68.469 2.24436e-002 -90.129
1.4508e-002 1.00000e+000 58.310 9.95871e-001 -5.209 1.00000e+000 -0.000 9.07819e-002 -158.588 1.00000e+000 116.620 8.37944e-003 179.868 8.68884e-003 164.532 4.38911e+001 -30.384 4.35266e+001 -30.373 1.00000e+000 0.000 2.48968e-001 111.412 2.29805e-002 89.868 1.00000e+000 -121.690 2.26955e-002 -95.209 2.48968e-001 -68.588 2.29805e-002 -90.132
1.4850e-002 1.00000e+000 58.310 9.95675e-001 -5.330 1.00000e+000 -0.000 9.28998e-002 -158.710 1.00000e+000 116.620 8.78193e-003 179.865 9.09171e-003 164.865 4.28826e+001 -30.354 4.25095e+001 -30.342 1.00000e+000 0.000 2.48919e-001 111.290 2.35306e-002 89.865 1.00000e+000 -121.690 2.32250e-002 -95.330 2.48919e-001 -68.710 2.35306e-002 -90.135
1.5199e-002 1.00000e+000 58.310 9.95471e-001 -5.455 1.00000e+000 -0.000 9.50663e-002 -158.835 1.00000e+000 116.620 9.20394e-003 179.862 9.51409e-003 165.192 4.18973e+001 -30.322 4.15154e+001 -30.310 1.00000e+000 0.000 2.48868e-001 111.165 2.40944e-002 89.862 1.00000e+000 -121.690 2.37666e-002 -95.455 2.48868e-001 -68.835 2.40944e-002 -90.138
1.5557e-002 1.00000e+000 58.310 9.95257e-001 -5.583 1.00000e+000 -0.000 9.72824e-002 -158.963 1.00000e+000 116.620 9.64642e-003 179.859 9.95693e-003 165.512 4.09346e+001 -30.290 4.05437e+001 -30.277 1.00000e+000 0.000 2.48814e-001 111.037 2.46722e-002 89.859 1.00000e+000 -121.690 2.43206e-002 -95.583 2.48814e-001 -68.963 2.46722e-002 -90.141
1.5923e-002 1.00000e+000 58.310 9.95033e-001 -5.713 1.00000e+000 -0.000 9.95491e-002 -159.093 1.00000e+000 116.620 1.01104e-002 179.855 1.04213e-002 165.825 3.99941e+001 -30.257 3.95940e+001 -30.243 1.00000e+000 0.000 2.48758e-001 110.907 2.52643e-002 89.855 1.00000e+000 -121.690 2.48873e-002 -95.713 2.48758e-001 -69.093 2.52643e-002 -90.145
1.6298e-002 1.00000e+000 58.310 9.94798e-001 -5.847 1.00000e+000 -0.000 1.01868e-001 -159.227 1.00000e+000 116.620 1.05969e-002 179.852 1.09081e-002 166.132 3.90752e+001 -30.223 3.86657e+001 -30.208 1.00000e+000 0.000 2.48699e-001 110.773 2.58713e-002 89.852 1.00000e+000 -121.690 2.54669e-002 -95.847 2.48699e-001 -69.227 2.58713e-002 -90.148
1.6681e-002 1.00000e+000 58.310 9.94552e-001 -5.983 1.00000e+000 -0.000 1.04239e-001 -159.363 1.00000e+000 116.620 1.11071e-002 179.848 1.14187e-002 166.432 3.81775e+001 -30.189 3.77584e+001 -30.172 1.00000e+000 0.000 2.48638e-001 110.637 2.64934e-002 89.848 1.00000e+000 -121.690 2.60597e-002 -95.983 2.48638e-001 -69.363 2.64934e-002 -90.152
1.7074e-002 1.00000e+000 58.310 9.94295e-001 -6.123 1.00000e+000 -0.000 1.06664e-001 -159.503 1.00000e+000 116.620 1.16421e-002 179.845 1.19541e-002 166.726 3.73004e+001 -30.154 3.68714e+001 -30.136 1.00000e+000 0.000 2.48574e-001 110.497 2.71312e-002 89.845 1.00000e+000 -121.690 2.66660e-002 -96.123 2.48574e-001 -69.503 2.71312e-002 -90.155
1.7475e-002 1.00000e+000 58.310 9.94026e-001 -6.266 1.00000e+000 -0.000 1.09144e-001 -159.646 1.00000e+000 116.620 1.22032e-002 179.841 1.25155e-002 167.014 3.64434e+001 -30.118 3.60044e+001 -30.098 1.00000e+000 0.000 2.48506e-001 110.354 2.77850e-002 89.841 1.00000e+000 -121.690 2.72861e-002 -96.266 2.48506e-001 -69.646 2.77850e-002 -90.159
