F 1m 1f 2m 2f 3m 3f 4m 4f 5m 5f 6m 6f 7m 7f 8m 8f 9m 9f 10m 10f jL0400m jL0400f jL0600m jL0600f jL0809m jL0809f jV0300m jV0300f jV0500m jV0500f jV1000m jV1000f
3.7649e-002 1.00000e+000 58.310 9.73142e-001 -13.309 1.00000e+000 -0.000 2.30204e-001 -166.689 1.00000e+000 116.620 5.92756e-002 179.641 5.96057e-002 173.608 1.69387e+001 -28.305 1.59942e+001 -28.105 1.00000e+000 0.000 2.43286e-001 103.311 6.26438e-002 89.641 1.00000e+000 -121.690 5.75511e-002 -103.309 2.43286e-001 -76.689 6.26438e-002 -90.359
3.8535e-002 1.00000e+000 58.310 9.71917e-001 -13.611 1.00000e+000 -0.000 2.35325e-001 -166.991 1.00000e+000 116.620 6.22737e-002 179.632 6.26048e-002 173.737 1.65507e+001 -28.226 1.55841e+001 -28.011 1.00000e+000 0.000 2.42979e-001 103.009 6.42993e-002 89.632 1.00000e+000 -121.690 5.88312e-002 -103.611 2.42979e-001 -76.991 6.42993e-002 -90.368
3.9442e-002 1.00000e+000 58.310 9.70638e-001 -13.919 1.00000e+000 -0.000 2.40545e-001 -167.299 1.00000e+000 116.620 6.54329e-002 179.622 6.57650e-002 173.861 1.61716e+001 -28.145 1.51823e+001 -27.913 1.00000e+000 0.000 2.42659e-001 102.701 6.60080e-002 89.622 1.00000e+000 -121.690 6.01363e-002 -103.919 2.42659e-001 -77.299 6.60080e-002 -90.378
4.0370e-002 1.00000e+000 58.310 9.69304e-001 -14.233 1.00000e+000 -0.000 2.45867e-001 -167.613 1.00000e+000 116.620 6.87627e-002 179.612 6.90959e-002 173.983 1.58012e+001 -28.061 1.47888e+001 -27.813 1.00000e+000 0.000 2.42326e-001 102.387 6.77723e-002 89.612 1.00000e+000 -121.690 6.14668e-002 -104.233 2.42326e-001 -77.613 6.77723e-002 -90.388
4.1320e-002 1.00000e+000 58.310 9.67912e-001 -14.554 1.00000e+000 -0.000 2.51291e-001 -167.934 1.00000e+000 116.620 7.22734e-002 179.601 7.26077e-002 174.101 1.54394e+001 -27.976 1.44033e+001 -27.709 1.00000e+000 0.000 2.41978e-001 102.066 6.95949e-002 89.601 1.00000e+000 -121.690 6.28228e-002 -104.554 2.41978e-001 -77.934 6.95949e-002 -90.399
4.2292e-002 1.00000e+000 58.310 9.66460e-001 -14.881 1.00000e+000 -0.000 2.56818e-001 -168.261 1.00000e+000 116.620 7.59762e-002 179.590 7.63117e-002 174.216 1.50860e+001 -27.889 1.40256e+001 -27.601 1.00000e+000 0.000 2.41615e-001 101.739 7.14784e-002 89.590 1.00000e+000 -121.690 6.42046e-002 -104.881 2.41615e-001 -78.261 7.14784e-002 -90.410
4.3288e-002 1.00000e+000 58.310 9.64946e-001 -15.215 1.00000e+000 -0.000 2.62450e-001 -168.595 1.00000e+000 116.620 7.98827e-002 179.579 8.02194e-002 174.328 1.47407e+001 -27.800 1.36555e+001 -27.490 1.00000e+000 0.000 2.41236e-001 101.405 7.34259e-002 89.579 1.00000e+000 -121.690 6.56125e-002 -105.215 2.41236e-001 -78.595 7.34259e-002 -90.421
4.4306e-002 1.00000e+000 58.310 9.63367e-001 -15.556 1.00000e+000 -0.000 2.68186e-001 -168.936 1.00000e+000 116.620 8.40058e-002 179.568 8.43439e-002 174.436 1.44034e+001 -27.709 1.32928e+001 -27.376 1.00000e+000 0.000 2.40842e-001 101.064 7.54405e-002 89.568 1.00000e+000 -121.690 6.70465e-002 -105.556 2.40842e-001 -78.936 7.54405e-002 -90.432
4.5349e-002 1.00000e+000 58.310 9.61722e-001 -15.904 1.00000e+000 -0.000 2.74028e-001 -169.284 1.00000e+000 116.620 8.83591e-002 179.556 8.86985e-002 174.542 1.40739e+001 -27.615 1.29373e+001 -27.257 1.00000e+000 0.000 2.40430e-001 100.716 7.75257e-002 89.556 1.00000e+000 -121.690 6.85070e-002 -105.904 2.40430e-001 -79.284 7.75257e-002 -90.444
4.6416e-002 1.00000e+000 58.310 9.60007e-001 -16.259 1.00000e+000 -0.000 2.79976e-001 -169.639 1.00000e+000 116.620 9.29573e-002 179.543 9.32982e-002 174.644 1.37520e+001 -27.520 1.25888e+001 -27.134 1.00000e+000 0.000 2.40002e-001 100.361 7.96851e-002 89.543 1.00000e+000 -121.690 6.99940e-002 -106.259 2.40002e-001 -79.639 7.96851e-002 -90.457
4.7508e-002 1.00000e+000 58.310 9.58220e-001 -16.620 1.00000e+000 -0.000 2.86031e-001 -170.000 1.00000e+000 116.620 9.78164e-002 179.531 9.81588e-002 174.743 1.34375e+001 -27.422 1.22471e+001 -27.006 1.00000e+000 0.000 2.39555e-001 100.000 8.19226e-002 89.531 1.00000e+000 -121.690 7.15077e-002 -106.620 2.39555e-001 -80.000 8.19226e-002 -90.469
4.8626e-002 1.00000e+000 58.310 9.56359e-001 -16.989 1.00000e+000 -0.000 2.92193e-001 -170.369 1.00000e+000 116.620 1.02953e-001 179.517 1.03297e-001 174.839 1.31303e+001 -27.322 1.19121e+001 -26.874 1.00000e+000 0.000 2.39090e-001 99.631 8.42426e-002 89.517 1.00000e+000 -121.690 7.30482e-002 -106.989 2.39090e-001 -80.369 8.42426e-002 -90.483
4.9770e-002 1.00000e+000 58.310 9.54421e-001 -17.365 1.00000e+000 -0.000 2.98462e-001 -170.745 1.00000e+000 116.620 1.08387e-001 179.504 1.08732e-001 174.933 1.28302e+001 -27.220 1.15836e+001 -26.737 1.00000e+000 0.000 2.38605e-001 99.255 8.66495e-002 89.504 1.00000e+000 -121.690 7.46156e-002 -107.365 2.38605e-001 -80.745 8.66495e-002 -90.496
5.0941e-002 1.00000e+000 58.310 9.52404e-001 -17.749 1.00000e+000 -0.000 3.04840e-001 -171.128 1.00000e+000 116.620 1.14136e-001 179.489 1.14484e-001 175.023 1.25371e+001 -27.115 1.12613e+001 -26.595 1.00000e+000 0.000 2.38101e-001 98.872 8.91484e-002 89.489 1.00000e+000 -121.690 7.62099e-002 -107.749 2.38101e-001 -81.128 8.91484e-002 -90.511
5.2140e-002 1.00000e+000 58.310 9.50304e-001 -18.139 1.00000e+000 -0.000 3.11325e-001 -171.519 1.00000e+000 116.620 1.20224e-001 179.474 1.20574e-001 175.110 1.22507e+001 -27.008 1.09452e+001 -26.448 1.00000e+000 0.000 2.37576e-001 98.481 9.17445e-002 89.474 1.00000e+000 -121.690 7.78312e-002 -108.139 2.37576e-001 -81.519 9.17445e-002 -90.526
5.3367e-002 1.00000e+000 58.310 9.48118e-001 -18.537 1.00000e+000 -0.000 3.17918e-001 -171.917 1.00000e+000 116.620 1.26674e-001 179.459 1.27025e-001 175.195 1.19709e+001 -26.898 1.06350e+001 -26.294 1.00000e+000 0.000 2.37030e-001 98.083 9.44438e-002 89.459 1.00000e+000 -121.690 7.94795e-002 -108.537 2.37030e-001 -81.917 9.44438e-002 -90.541
5.4623e-002 1.00000e+000 58.310 9.45845e-001 -18.942 1.00000e+000 -0.000 3.24619e-001 -172.322 1.00000e+000 116.620 1.33510e-001 179.443 1.33864e-001 175.277 1.16977e+001 -26.786 1.03305e+001 -26.135 1.00000e+000 0.000 2.36461e-001 97.678 9.72525e-002 89.443 1.00000e+000 -121.690 8.11547e-002 -108.942 2.36461e-001 -82.322 9.72525e-002 -90.557
5.5908e-002 1.00000e+000 58.310 9.43481e-001 -19.355 1.00000e+000 -0.000 3.31427e-001 -172.735 1.00000e+000 116.620 1.40762e-001 179.426 1.41118e-001 175.355 1.14307e+001 -26.671 1.00317e+001 -25.969 1.00000e+000 0.000 2.35870e-001 97.265 1.00178e-001 89.426 1.00000e+000 -121.690 8.28567e-002 -109.355 2.35870e-001 -82.735 1.00178e-001 -90.574
5.7224e-002 1.00000e+000 58.310 9.41023e-001 -19.776 1.00000e+000 -0.000 3.38342e-001 -173.156 1.00000e+000 116.620 1.48459e-001 179.409 1.48817e-001 175.431 1.11700e+001 -26.554 9.73840e+000 -25.796 1.00000e+000 0.000 2.35256e-001 96.844 1.03226e-001 89.409 1.00000e+000 -121.690 8.45855e-002 -109.776 2.35256e-001 -83.156 1.03226e-001 -90.591
5.8570e-002 1.00000e+000 58.310 9.38469e-001 -20.204 1.00000e+000 -0.000 3.45364e-001 -173.584 1.00000e+000 116.620 1.56635e-001 179.390 1.56996e-001 175.504 1.09152e+001 -26.433 9.45037e+000 -25.616 1.00000e+000 0.000 2.34617e-001 96.416 1.06407e-001 89.390 1.00000e+000 -121.690 8.63409e-002 -110.204 2.34617e-001 -83.584 1.06407e-001 -90.610
5.9948e-002 1.00000e+000 58.310 9.35815e-001 -20.640 1.00000e+000 -0.000 3.52491e-001 -174.020 1.00000e+000 116.620 1.65326e-001 179.371 1.65689e-001 175.574 1.06664e+001 -26.310 9.16749e+000 -25.428 1.00000e+000 0.000 2.33954e-001 95.980 1.09729e-001 89.371 1.00000e+000 -121.690 8.81227e-002 -110.640 2.33954e-001 -84.020 1.09729e-001 -90.629
6.1359e-002 1.00000e+000 58.310 9.33059e-001 -21.083 1.00000e+000 -0.000 3.59723e-001 -174.463 1.00000e+000 116.620 1.74571e-001 179.351 1.74938e-001 175.641 1.04234e+001 -26.185 8.88962e+000 -25.231 1.00000e+000 0.000 2.33265e-001 95.537 1.13202e-001 89.351 1.00000e+000 -121.690 8.99307e-002 -111.083 2.33265e-001 -84.463 1.13202e-001 -90.649
6.2803e-002 1.00000e+000 58.310 9.30198e-001 -21.534 1.00000e+000 -0.000 3.67058e-001 -174.914 1.00000e+000 116.620 1.84416e-001 179.331 1.84786e-001 175.705 1.01860e+001 -26.056 8.61660e+000 -25.025 1.00000e+000 0.000 2.32549e-001 95.086 1.16837e-001 89.331 1.00000e+000 -121.690 9.17646e-002 -111.534 2.32549e-001 -84.914 1.16837e-001 -90.669
6.4281e-002 1.00000e+000 58.310 9.27228e-001 -21.993 1.00000e+000 -0.000 3.74496e-001 -175.373 1.00000e+000 116.620 1.94908e-001 179.309 1.95281e-001 175.767 9.95410e+000 -25.924 8.34830e+000 -24.810 1.00000e+000 0.000 2.31807e-001 94.627 1.20645e-001 89.309 1.00000e+000 -121.690 9.36241e-002 -111.993 2.31807e-001 -85.373 1.20645e-001 -90.691
6.5793e-002 1.00000e+000 58.310 9.24148e-001 -22.460 1.00000e+000 -0.000 3.82035e-001 -175.840 1.00000e+000 116.620 2.06100e-001 179.286 2.06477e-001 175.825 9.72759e+000 -25.789 8.08457e+000 -24.585 1.00000e+000 0.000 2.31037e-001 94.160 1.24640e-001 89.286 1.00000e+000 -121.690 9.55087e-002 -112.460 2.31037e-001 -85.840 1.24640e-001 -90.714
6.7342e-002 1.00000e+000 58.310 9.20953e-001 -22.934 1.00000e+000 -0.000 3.89673e-001 -176.314 1.00000e+000 116.620 2.18053e-001 179.262 2.18433e-001 175.880 9.50634e+000 -25.652 7.82528e+000 -24.348 1.00000e+000 0.000 2.30238e-001 93.686 1.28837e-001 89.262 1.00000e+000 -121.690 9.74182e-002 -112.934 2.30238e-001 -86.314 1.28837e-001 -90.738
6.8926e-002 1.00000e+000 58.310 9.17642e-001 -23.416 1.00000e+000 -0.000 3.97408e-001 -176.796 1.00000e+000 116.620 2.30831e-001 179.237 2.31216e-001 175.933 9.29024e+000 -25.511 7.57030e+000 -24.099 1.00000e+000 0.000 2.29410e-001 93.204 1.33251e-001 89.237 1.00000e+000 -121.690 9.93521e-002 -113.416 2.29410e-001 -86.796 1.33251e-001 -90.763
7.0548e-002 1.00000e+000 58.310 9.14211e-001 -23.906 1.00000e+000 -0.000 4.05239e-001 -177.286 1.00000e+000 116.620 2.44509e-001 179.210 2.44897e-001 175.982 9.07916e+000 -25.366 7.31949e+000 -23.838 1.00000e+000 0.000 2.28553e-001 92.714 1.37902e-001 89.210 1.00000e+000 -121.690 1.01310e-001 -113.906 2.28553e-001 -87.286 1.37902e-001 -90.790
7.2208e-002 1.00000e+000 58.310 9.10657e-001 -24.404 1.00000e+000 -0.000 4.13162e-001 -177.783 1.00000e+000 116.620 2.59167e-001 179.182 2.59560e-001 176.028 8.87299e+000 -25.219 7.07272e+000 -23.562 1.00000e+000 0.000 2.27664e-001 92.217 1.42808e-001 89.182 1.00000e+000 -121.690 1.03291e-001 -114.404 2.27664e-001 -87.783 1.42808e-001 -90.818
7.3907e-002 1.00000e+000 58.310 9.06979e-001 -24.909 1.00000e+000 -0.000 4.21176e-001 -178.289 1.00000e+000 116.620 2.74898e-001 179.152 2.75296e-001 176.070 8.67162e+000 -25.068 6.82988e+000 -23.271 1.00000e+000 0.000 2.26745e-001 91.711 1.47994e-001 89.152 1.00000e+000 -121.690 1.05294e-001 -114.909 2.26745e-001 -88.289 1.47994e-001 -90.848
7.5646e-002 1.00000e+000 58.310 9.03172e-001 -25.422 1.00000e+000 -0.000 4.29278e-001 -178.802 1.00000e+000 116.620 2.91805e-001 179.121 2.92208e-001 176.110 8.47494e+000 -24.914 6.59084e+000 -22.963 1.00000e+000 0.000 2.25793e-001 91.198 1.53485e-001 89.121 1.00000e+000 -121.690 1.07319e-001 -115.422 2.25793e-001 -88.802 1.53485e-001 -90.879
7.7426e-002 1.00000e+000 58.310 8.99236e-001 -25.942 1.00000e+000 -0.000 4.37464e-001 -179.322 1.00000e+000 116.620 3.10005e-001 179.087 3.10414e-001 176.145 8.28285e+000 -24.756 6.35549e+000 -22.637 1.00000e+000 0.000 2.24809e-001 90.678 1.59309e-001 89.087 1.00000e+000 -121.690 1.09366e-001 -115.942 2.24809e-001 -89.322 1.59309e-001 -90.913
7.9248e-002 1.00000e+000 58.310 8.95167e-001 -26.470 1.00000e+000 -0.000 4.45732e-001 -179.850 1.00000e+000 116.620 3.29629e-001 179.052 3.30044e-001 176.177 8.09523e+000 -24.594 6.12371e+000 -22.291 1.00000e+000 0.000 2.23792e-001 90.150 1.65499e-001 89.052 1.00000e+000 -121.690 1.11433e-001 -116.470 2.23792e-001 -89.850 1.65499e-001 -90.948
8.1113e-002 1.00000e+000 58.310 8.90962e-001 -27.006 1.00000e+000 0.000 4.54078e-001 179.615 1.00000e+000 116.620 3.50828e-001 179.014 3.51250e-001 176.206 7.91200e+000 -24.429 5.89538e+000 -21.924 1.00000e+000 0.000 2.22741e-001 89.615 1.72093e-001 89.014 1.00000e+000 -121.690 1.13519e-001 -117.006 2.22741e-001 -90.385 1.72093e-001 -90.986
8.3022e-002 1.00000e+000 58.310 8.86620e-001 -27.548 1.00000e+000 0.000 4.62498e-001 179.072 1.00000e+000 116.620 3.73773e-001 178.974 3.74202e-001 176.230 7.73304e+000 -24.260 5.67042e+000 -21.532 1.00000e+000 0.000 2.21655e-001 89.072 1.79133e-001 88.974 1.00000e+000 -121.690 1.15624e-001 -117.548 2.21655e-001 -90.928 1.79133e-001 -91.026
8.4975e-002 1.00000e+000 58.310 8.82139e-001 -28.098 1.00000e+000 0.000 4.70988e-001 178.522 1.00000e+000 116.620 3.98661e-001 178.930 3.99098e-001 176.250 7.55826e+000 -24.087 5.44871e+000 -21.114 1.00000e+000 0.000 2.20535e-001 88.522 1.86669e-001 88.930 1.00000e+000 -121.690 1.17747e-001 -118.098 2.20535e-001 -91.478 1.86669e-001 -91.070
8.6975e-002 1.00000e+000 58.310 8.77517e-001 -28.656 1.00000e+000 0.000 4.79545e-001 177.964 1.00000e+000 116.620 4.25720e-001 178.884 4.26165e-001 176.265 7.38757e+000 -23.910 5.23015e+000 -20.667 1.00000e+000 0.000 2.19379e-001 87.964 1.94756e-001 88.884 1.00000e+000 -121.690 1.19886e-001 -118.656 2.19379e-001 -92.036 1.94756e-001 -91.116
8.9022e-002 1.00000e+000 58.310 8.72752e-001 -29.220 1.00000e+000 0.000 4.88164e-001 177.400 1.00000e+000 116.620 4.55213e-001 178.834 4.55667e-001 176.275 7.22088e+000 -23.730 5.01467e+000 -20.187 1.00000e+000 0.000 2.18188e-001 87.400 2.03460e-001 88.834 1.00000e+000 -121.690 1.22041e-001 -119.220 2.18188e-001 -92.600 2.03460e-001 -91.166
9.1116e-002 1.00000e+000 58.310 8.67842e-001 -29.791 1.00000e+000 0.000 4.96840e-001 176.829 1.00000e+000 116.620 4.87446e-001 178.780 4.87911e-001 176.280 7.05809e+000 -23.545 4.80217e+000 -19.671 1.00000e+000 0.000 2.16961e-001 86.829 2.12858e-001 88.780 1.00000e+000 -121.690 1.24210e-001 -119.791 2.16961e-001 -93.171 2.12858e-001 -91.220
9.3260e-002 1.00000e+000 58.310 8.62786e-001 -30.369 1.00000e+000 0.000 5.05569e-001 176.251 1.00000e+000 116.620 5.22782e-001 178.722 5.23257e-001 176.279 6.89912e+000 -23.356 4.59257e+000 -19.113 1.00000e+000 0.000 2.15697e-001 86.251 2.23040e-001 88.722 1.00000e+000 -121.690 1.26392e-001 -120.369 2.15697e-001 -93.749 2.23040e-001 -91.278
9.5455e-002 1.00000e+000 58.310 8.57584e-001 -30.954 1.00000e+000 0.000 5.14345e-001 175.666 1.00000e+000 116.620 5.61645e-001 178.659 5.62132e-001 176.272 6.74388e+000 -23.163 4.38581e+000 -18.510 1.00000e+000 0.000 2.14396e-001 85.666 2.34112e-001 88.659 1.00000e+000 -121.690 1.28586e-001 -120.954 2.14396e-001 -94.334 2.34112e-001 -91.341
9.7701e-002 1.00000e+000 58.310 8.52233e-001 -31.545 1.00000e+000 0.000 5.23163e-001 175.075 1.00000e+000 116.620 6.04543e-001 178.589 6.05044e-001 176.257 6.59229e+000 -22.965 4.18183e+000 -17.855 1.00000e+000 0.000 2.13058e-001 85.075 2.46200e-001 88.589 1.00000e+000 -121.690 1.30791e-001 -121.545 2.13058e-001 -94.925 2.46200e-001 -91.411
1.0000e-001 1.00000e+000 58.310 8.46733e-001 -32.142 1.00000e+000 0.000 5.32018e-001 174.478 1.00000e+000 116.620 6.52084e-001 178.513 6.52600e-001 176.235 6.44426e+000 -22.763 3.98058e+000 -17.140 1.00000e+000 0.000 2.11683e-001 84.478 2.59456e-001 88.513 1.00000e+000 -121.690 1.33005e-001 -122.142 2.11683e-001 -95.522 2.59456e-001 -91.487
1.0235e-001 1.00000e+000 58.310 8.41084e-001 -32.745 1.00000e+000 0.000 5.40904e-001 173.875 1.00000e+000 116.620 7.05004e-001 178.430 7.05536e-001 176.203 6.29971e+000 -22.556 3.78202e+000 -16.358 1.00000e+000 0.000 2.10271e-001 83.875 2.74063e-001 88.430 1.00000e+000 -121.690 1.35226e-001 -122.745 2.10271e-001 -96.125 2.74063e-001 -91.570
1.0476e-001 1.00000e+000 58.310 8.35286e-001 -33.354 1.00000e+000 0.000 5.49816e-001 173.266 1.00000e+000 116.620 7.64203e-001 178.337 7.64754e-001 176.162 6.15857e+000 -22.345 3.58615e+000 -15.498 1.00000e+000 0.000 2.08822e-001 83.266 2.90246e-001 88.337 1.00000e+000 -121.690 1.37454e-001 -123.354 2.08822e-001 -96.734 2.90246e-001 -91.663
1.0723e-001 1.00000e+000 58.310 8.29339e-001 -33.969 1.00000e+000 0.000 5.58746e-001 172.651 1.00000e+000 116.620 8.30791e-001 178.233 8.31363e-001 176.108 6.02076e+000 -22.129 3.39295e+000 -14.549 1.00000e+000 0.000 2.07335e-001 82.651 3.08283e-001 88.233 1.00000e+000 -121.690 1.39687e-001 -123.969 2.07335e-001 -97.349 3.08283e-001 -91.767
1.0975e-001 1.00000e+000 58.310 8.23242e-001 -34.589 1.00000e+000 0.000 5.67690e-001 172.031 1.00000e+000 116.620 9.06157e-001 178.117 9.06752e-001 176.041 5.88621e+000 -21.909 3.20246e+000 -13.494 1.00000e+000 0.000 2.05811e-001 82.031 3.28518e-001 88.117 1.00000e+000 -121.690 1.41923e-001 -124.589 2.05811e-001 -97.969 3.28518e-001 -91.883
1.1233e-001 1.00000e+000 58.310 8.16998e-001 -35.215 1.00000e+000 0.000 5.76641e-001 171.406 1.00000e+000 116.620 9.92058e-001 177.986 9.92681e-001 175.958 5.75483e+000 -21.683 3.01475e+000 -12.318 1.00000e+000 0.000 2.04249e-001 81.406 3.51392e-001 87.986 1.00000e+000 -121.690 1.44160e-001 -125.215 2.04249e-001 -98.594 3.51392e-001 -92.014
1.1498e-001 1.00000e+000 58.310 8.10606e-001 -35.845 1.00000e+000 0.000 5.85593e-001 170.775 1.00000e+000 116.620 1.09075e+000 177.837 1.09141e+000 175.855 5.62657e+000 -21.452 2.82991e+000 -10.996 1.00000e+000 0.000 2.02651e-001 80.775 3.77469e-001 87.837 1.00000e+000 -121.690 1.46398e-001 -125.845 2.02651e-001 -99.225 3.77469e-001 -92.163
1.1768e-001 1.00000e+000 58.310 8.04068e-001 -36.480 1.00000e+000 0.000 5.94538e-001 170.140 1.00000e+000 116.620 1.20519e+000 177.665 1.20588e+000 175.728 5.50135e+000 -21.217 2.64812e+000 -9.503 1.00000e+000 0.000 2.01017e-001 80.140 4.07484e-001 87.665 1.00000e+000 -121.690 1.48634e-001 -126.480 2.01017e-001 -99.860 4.07484e-001 -92.335
1.2045e-001 1.00000e+000 58.310 7.97385e-001 -37.119 1.00000e+000 0.000 6.03471e-001 169.501 1.00000e+000 116.620 1.33932e+000 177.464 1.34005e+000 175.572 5.37910e+000 -20.976 2.46960e+000 -7.804 1.00000e+000 0.000 1.99346e-001 79.501 4.42420e-001 87.464 1.00000e+000 -121.690 1.50868e-001 -127.119 1.99346e-001 -100.499 4.42420e-001 -92.536
1.2328e-001 1.00000e+000 58.310 7.90560e-001 -37.762 1.00000e+000 0.000 6.12384e-001 168.858 1.00000e+000 116.620 1.49847e+000 177.228 1.49926e+000 175.379 5.25976e+000 -20.730 2.29469e+000 -5.854 1.00000e+000 0.000 1.97640e-001 78.858 4.83616e-001 87.228 1.00000e+000 -121.690 1.53096e-001 -127.762 1.97640e-001 -101.142 4.83616e-001 -92.772
1.2619e-001 1.00000e+000 58.310 7.83595e-001 -38.409 1.00000e+000 0.000 6.21272e-001 168.211 1.00000e+000 116.620 1.69017e+000 176.945 1.69101e+000 175.139 5.14325e+000 -20.479 2.12386e+000 -3.601 1.00000e+000 0.000 1.95899e-001 78.211 5.32942e-001 86.945 1.00000e+000 -121.690 1.55318e-001 -128.409 1.95899e-001 -101.789 5.32942e-001 -93.055
1.2915e-001 1.00000e+000 58.310 7.76492e-001 -39.059 1.00000e+000 0.000 6.30127e-001 167.561 1.00000e+000 116.620 1.92520e+000 176.600 1.92612e+000 174.835 5.02953e+000 -20.222 1.95776e+000 -0.974 1.00000e+000 0.000 1.94123e-001 77.561 5.93097e-001 86.600 1.00000e+000 -121.690 1.57532e-001 -129.059 1.94123e-001 -102.439 5.93097e-001 -93.400
1.3219e-001 1.00000e+000 58.310 7.69254e-001 -39.713 1.00000e+000 0.000 6.38943e-001 166.907 1.00000e+000 116.620 2.21976e+000 176.169 2.22076e+000 174.445 4.91852e+000 -19.959 1.79728e+000 2.117 1.00000e+000 0.000 1.92314e-001 76.907 6.68119e-001 86.169 1.00000e+000 -121.690 1.59736e-001 -129.713 1.92314e-001 -103.093 6.68119e-001 -93.831
1.3530e-001 1.00000e+000 58.310 7.61885e-001 -40.369 1.00000e+000 0.000 6.47713e-001 166.251 1.00000e+000 116.620 2.59918e+000 175.616 2.60031e+000 173.932 4.81017e+000 -19.691 1.64369e+000 5.783 1.00000e+000 0.000 1.90471e-001 76.251 7.64335e-001 85.616 1.00000e+000 -121.690 1.61928e-001 -130.369 1.90471e-001 -103.749 7.64335e-001 -94.384
1.3849e-001 1.00000e+000 58.310 7.54387e-001 -41.028 1.00000e+000 0.000 6.56430e-001 165.592 1.00000e+000 116.620 3.10551e+000 174.881 3.10679e+000 173.235 4.70442e+000 -19.417 1.49872e+000 10.164 1.00000e+000 0.000 1.88597e-001 75.592 8.92235e-001 84.881 1.00000e+000 -121.690 1.64107e-001 -131.028 1.88597e-001 -104.408 8.92235e-001 -95.119
1.4175e-001 1.00000e+000 58.310 7.46765e-001 -41.689 1.00000e+000 0.000 6.65088e-001 164.931 1.00000e+000 116.620 3.81386e+000 173.854 3.81536e+000 172.247 4.60121e+000 -19.137 1.36475e+000 15.426 1.00000e+000 0.000 1.86691e-001 74.931 1.07056e+000 83.854 1.00000e+000 -121.690 1.66272e-001 -131.689 1.86691e-001 -105.069 1.07056e+000 -96.146
1.4508e-001 1.00000e+000 58.310 7.39023e-001 -42.352 1.00000e+000 0.000 6.73680e-001 164.268 1.00000e+000 116.620 4.87247e+000 172.321 4.87430e+000 170.750 4.50048e+000 -18.852 1.24500e+000 21.748 1.00000e+000 0.000 1.84756e-001 74.268 1.33627e+000 82.321 1.00000e+000 -121.690 1.68420e-001 -132.352 1.84756e-001 -105.732 1.33627e+000 -97.679
1.4850e-001 1.00000e+000 58.310 7.31165e-001 -43.016 1.00000e+000 0.000 6.82201e-001 163.604 1.00000e+000 116.620 6.61844e+000 169.785 6.62082e+000 168.250 4.40218e+000 -18.560 1.14367e+000 29.282 1.00000e+000 0.000 1.82791e-001 73.604 1.77337e+000 79.785 1.00000e+000 -121.690 1.70550e-001 -133.016 1.82791e-001 -106.396 1.77337e+000 -100.215
1.5199e-001 1.00000e+000 58.310 7.23196e-001 -43.681 1.00000e+000 0.000 6.90643e-001 162.939 1.00000e+000 116.620 1.00024e+001 164.820 1.00058e+001 163.321 4.30625e+000 -18.262 1.06576e+000 38.077 1.00000e+000 0.000 1.80799e-001 72.939 2.61846e+000 74.820 1.00000e+000 -121.690 1.72661e-001 -133.681 1.80799e-001 -107.061 2.61846e+000 -105.180
1.5557e-001 1.00000e+000 58.310 7.15120e-001 -44.347 1.00000e+000 0.000 6.99001e-001 162.273 1.00000e+000 116.620 1.87962e+001 151.266 1.88024e+001 149.801 4.21265e+000 -17.958 1.01650e+000 47.973 1.00000e+000 0.000 1.78780e-001 72.273 4.80742e+000 61.266 1.00000e+000 -121.690 1.74750e-001 -134.347 1.78780e-001 -107.727 4.80742e+000 -118.734
1.5923e-001 1.00000e+000 58.310 7.06944e-001 -45.013 1.00000e+000 0.000 7.07270e-001 161.607 1.00000e+000 116.620 3.99913e+001 87.889 4.00038e+001 86.458 4.12132e+000 -17.647 1.00001e+000 58.521 1.00000e+000 0.000 1.76736e-001 71.607 9.99322e+000 -2.111 1.00000e+000 -121.690 1.76817e-001 -135.013 1.76736e-001 -108.393 9.99322e+000 177.889
1.6298e-001 1.00000e+000 58.310 6.98672e-001 -45.679 1.00000e+000 0.000 7.15442e-001 160.941 1.00000e+000 116.620 1.90951e+001 27.787 1.91008e+001 26.389 4.03221e+000 -17.331 1.01785e+000 69.055 1.00000e+000 0.000 1.74668e-001 70.941 4.66187e+000 -62.213 1.00000e+000 -121.690 1.78861e-001 -135.679 1.74668e-001 -109.059 4.66187e+000 117.787
1.6681e-001 1.00000e+000 58.310 6.90310e-001 -46.345 1.00000e+000 0.000 7.23513e-001 160.275 1.00000e+000 116.620 1.07765e+001 14.895 1.07796e+001 13.529 3.94527e+000 -17.007 1.06834e+000 78.914 1.00000e+000 0.000 1.72578e-001 70.275 2.57049e+000 -75.105 1.00000e+000 -121.690 1.80878e-001 -136.345 1.72578e-001 -109.725 2.57049e+000 104.895
1.7074e-001 1.00000e+000 58.310 6.81865e-001 -47.010 1.00000e+000 0.000 7.31478e-001 159.610 1.00000e+000 116.620 7.51270e+000 10.083 7.51474e+000 8.748 3.86046e+000 -16.677 1.14727e+000 87.661 1.00000e+000 0.000 1.70466e-001 69.610 1.75079e+000 -79.917 1.00000e+000 -121.690 1.82870e-001 -137.010 1.70466e-001 -110.390 1.75079e+000 100.083
