f 1m 1f 2m 2f 3m 3f 4m 4f 5m 5f 6m 6f 7m 7f 8m 8f 9m 9f 10m 10f 11m 11f 12m 12f 13m 13f 14m 14f 15m 15f 16m 16f jV0500m jV0500f jV0700m jV0700f jV0200m jV0200f jV0400m jV0400f jV0013m jV0013f jV0015m jV0015f jV0010m jV0010f jV0012m jV0012f 
59948.4 43.4288 -0.19523 0 0 43.4292 -0.219041 0 0 0 0 226.377 -58.5837 0 0 45.8275 -1.69246 43.4288 179.805 0 0 43.4292 179.781 0 0 0 0 226.377 121.416 0 0 45.8275 178.308 56.7643 121.416 8.66723 178.287 0.991789 179.804 0.790192 179.749 56.7643 121.416 8.66723 178.287 0.991789 179.804 0.790192 179.749
77426.4 43.4286 -0.252149 0 0 43.4289 -0.282902 0 0 0 0 185.668 -64.6899 0 0 45.8141 -2.18547 43.4286 179.748 0 0 43.4289 179.717 0 0 0 0 185.668 115.31 0 0 45.8141 177.815 46.5567 115.31 8.66471 177.789 0.991785 179.746 0.790188 179.676 46.5567 115.31 8.66471 177.789 0.991785 179.746 0.790188 179.676
100000 43.4283 -0.325661 0 0 43.4286 -0.36538 0 0 0 0 149.326 -69.8893 0 0 45.7919 -2.82173 43.4283 179.674 0 0 43.4286 179.635 0 0 0 0 149.326 110.111 0 0 45.7919 177.178 37.4437 110.111 8.6605 177.145 0.991779 179.672 0.790182 179.581 37.4437 110.111 8.6605 177.145 0.991779 179.672 0.790182 179.581
129155 43.4279 -0.420605 0 0 43.428 -0.471902 0 0 0 0 118.456 -74.1717 0 0 45.7549 -3.64243 43.4279 179.579 0 0 43.428 179.528 0 0 0 0 118.456 105.828 0 0 45.7549 176.358 29.703 105.828 8.6535 176.314 0.991768 179.577 0.790172 179.459 29.703 105.828 8.6535 176.314 0.991768 179.577 0.790172 179.459
166810 43.4271 -0.543225 0 0 43.427 -0.609476 0 0 0 0 93.1138 -77.6195 0 0 45.6933 -4.70016 43.4271 179.457 0 0 43.427 179.391 0 0 0 0 93.1138 102.38 0 0 45.6933 175.3 23.3485 102.38 8.64186 175.244 0.99175 179.454 0.790154 179.301 23.3485 102.38 8.64186 175.244 0.99175 179.454 0.790154 179.301
215443 43.4258 -0.701588 0 0 43.4254 -0.787149 0 0 0 0 72.7676 -80.3544 0 0 45.5911 -6.06143 43.4258 179.298 0 0 43.4254 179.213 0 0 0 0 72.7676 99.6456 0 0 45.5911 173.939 18.2466 99.6452 8.62254 173.866 0.99172 179.294 0.790125 179.098 18.2466 99.6452 8.62254 173.866 0.99172 179.294 0.790125 179.098
278256 43.4236 -0.906106 0 0 43.4226 -1.0166 0 0 0 0 56.6608 -82.5035 0 0 45.4223 -7.80925 43.4236 179.094 0 0 43.4226 178.983 0 0 0 0 56.6608 97.4965 0 0 45.4223 172.191 14.2078 97.496 8.59061 172.097 0.991671 179.089 0.790076 178.835 14.2078 97.496 8.59061 172.097 0.991671 179.089 0.790076 178.835
359381 43.42 -1.17022 0 0 43.4181 -1.3129 0 0 0 0 44.0207 -84.1824 0 0 45.1447 -10.0448 43.42 178.83 0 0 43.4181 178.687 0 0 0 0 44.0207 95.8176 0 0 45.1447 169.955 11.0383 95.8169 8.53812 169.834 0.991588 178.823 0.789995 178.495 11.0383 95.8169 8.53812 169.834 0.991588 178.823 0.789995 178.495
464159 43.4139 -1.51125 0 0 43.4105 -1.69547 0 0 0 0 34.154 -85.4895 0 0 44.6928 -12.8861 43.4139 178.489 0 0 43.4105 178.305 0 0 0 0 34.154 94.5105 0 0 44.6928 167.114 8.56417 94.5097 8.45267 166.958 0.99145 178.48 0.789859 178.056 8.56417 94.5097 8.45267 166.958 0.99145 178.48 0.789859 178.056
599484 43.4038 -1.95155 0 0 43.3978 -2.18936 0 0 0 0 26.477 -86.5048 0 0 43.9683 -16.4611 43.4038 178.048 0 0 43.3978 177.811 0 0 0 0 26.477 93.4952 0 0 43.9683 163.539 6.63915 93.4942 8.31566 163.337 0.991219 178.037 0.789633 177.49 6.63915 93.4942 8.31566 163.337 0.991219 178.037 0.789633 177.49
774264 43.387 -2.51988 0 0 43.3766 -2.82675 0 0 0 0 20.5154 -87.2924 0 0 42.8344 -20.8879 43.387 177.48 0 0 43.3766 177.173 0 0 0 0 20.5154 92.7076 0 0 42.8344 159.112 5.14429 92.7062 8.10124 158.852 0.990836 177.465 0.789257 176.759 5.14429 92.7062 8.10124 158.852 0.990836 177.465 0.789257 176.759
1e+06 43.3591 -3.25315 0 0 43.3414 -3.64891 0 0 0 0 15.8915 -87.903 0 0 41.1236 -26.2379 43.3591 176.747 0 0 43.3414 176.351 0 0 0 0 15.8915 92.097 0 0 41.1236 153.762 3.98482 92.0952 7.77774 153.426 0.990196 176.728 0.78863 175.816 3.98482 92.0952 7.77774 153.426 0.990196 176.728 0.78863 175.816
1.29155e+06 43.3125 -4.19859 0 0 43.2829 -4.7085 0 0 0 0 12.3075 -88.3761 0 0 38.6759 -32.4801 43.3125 175.801 0 0 43.2829 175.291 0 0 0 0 12.3075 91.6239 0 0 38.6759 147.52 3.08613 91.6216 7.31489 147.086 0.989133 175.776 0.787588 174.601 3.08613 91.6216 7.31489 147.086 0.989133 175.776 0.787588 174.601
1.6681e+06 43.2351 -5.41622 0 0 43.1858 -6.07215 0 0 0 0 9.53077 -88.7425 0 0 35.4145 -39.4263 43.2351 174.584 0 0 43.1858 173.928 0 0 0 0 9.53077 91.2575 0 0 35.4145 140.574 2.38986 91.2545 6.69818 140.013 0.987367 174.552 0.78586 173.036 2.38986 91.2545 6.69818 140.013 0.987367 174.552 0.78586 173.036
2.15443e+06 43.107 -6.98148 0 0 43.0253 -7.823 0 0 0 0 7.38004 -89.0263 0 0 31.4319 -46.7191 43.107 173.019 0 0 43.0253 172.177 0 0 0 0 7.38004 90.9737 0 0 31.4319 133.281 1.85056 90.9698 5.94511 132.557 0.984441 172.977 0.783002 171.025 1.85056 90.9698 5.94511 132.557 0.984441 172.977 0.783002 171.025
2.78256e+06 42.8959 -8.98737 0 0 42.7615 -10.0623 0 0 0 0 5.71443 -89.2461 0 0 27.0115 -53.9026 42.8959 171.013 0 0 42.7615 169.938 0 0 0 0 5.71443 90.7539 0 0 27.0115 126.097 1.4329 90.7489 5.10929 125.162 0.979619 170.959 0.778306 168.45 1.4329 90.7489 5.10929 125.162 0.979619 170.959 0.778306 168.45
3.59381e+06 42.5504 -11.545 0 0 42.332 -12.9083 0 0 0 0 4.42463 -89.4163 0 0 22.5393 -60.5532 42.5504 168.455 0 0 42.332 167.092 0 0 0 0 4.42463 90.5837 0 0 22.5393 119.447 1.10948 90.5773 4.26375 118.239 0.971729 168.386 0.770662 165.17 1.10948 90.5773 4.26375 118.239 0.971729 168.386 0.770662 165.17
4.64159e+06 41.9922 -14.7793 0 0 41.6434 -16.4889 0 0 0 0 3.4259 -89.548 0 0 18.3627 -66.3894 41.9922 165.221 0 0 41.6434 163.511 0 0 0 0 3.4259 90.452 0 0 18.3627 113.611 0.859051 90.4436 3.47418 112.051 0.958983 165.131 0.758412 161.03 0.859051 90.4436 3.47418 112.051 0.958983 165.131 0.758412 161.03
5.99484e+06 41.1081 -18.8161 0 0 40.5661 -20.9219 0 0 0 0 2.65258 -89.65 0 0 14.6976 -71.3022 41.1081 161.184 0 0 40.5661 159.078 0 0 0 0 2.65258 90.35 0 0 14.6976 108.698 0.66514 90.3391 2.78144 106.684 0.938793 161.068 0.739253 155.875 0.66514 90.3391 2.78144 106.684 0.938793 161.068 0.739253 155.875
7.74264e+06 39.75 -23.7536 0 0 38.9412 -26.2784 0 0 0 0 2.05381 -89.729 0 0 11.6215 -75.3164 39.75 156.246 0 0 38.9412 153.722 0 0 0 0 2.05381 90.271 0 0 11.6215 104.684 0.514998 90.257 2.20021 102.084 0.907779 156.097 0.710382 149.588 0.514998 90.257 2.20021 102.084 0.907779 156.097 0.710382 149.588
1e+07 37.7563 -29.6136 0 0 36.6173 -32.5264 0 0 0 0 1.5902 -89.7902 0 0 9.11617 -78.531 37.7563 150.386 0 0 36.6173 147.474 0 0 0 0 1.5902 90.2098 0 0 9.11617 101.469 0.398746 90.1918 1.72708 98.1127 0.862249 150.193 0.669147 142.141 0.398746 90.1918 1.72708 98.1127 0.862249 150.193 0.669147 142.141
1.29155e+07 35.0085 -36.2826 0 0 33.5226 -39.4764 0 0 0 0 1.23124 -89.8376 0 0 7.11487 -81.0724 35.0085 143.717 0 0 33.5226 140.524 0 0 0 0 1.23124 90.1624 0 0 7.11487 98.9276 0.308735 90.1391 1.34947 94.5961 0.799501 143.468 0.61436 133.649 0.308735 90.1391 1.34947 94.5961 0.799501 143.468 0.61436 133.649
1.6681e+07 31.5154 -43.475 0 0 29.7461 -46.77 0 0 0 0 0.953305 -89.8742 0 0 5.53555 -83.0653 31.5154 136.525 0 0 29.7461 133.23 0 0 0 0 0.953305 90.1258 0 0 5.53555 96.9347 0.239043 90.0957 1.05192 91.3476 0.719732 136.202 0.547751 124.38 0.239043 90.0957 1.05192 91.3476 0.719732 136.202 0.547751 124.38
2.15443e+07 27.4694 -50.7643 0 0 25.5571 -53.9512 0 0 0 0 0.73811 -89.9026 0 0 4.29854 -84.6202 27.4694 129.236 0 0 25.5571 126.049 0 0 0 0 0.73811 90.0974 0 0 4.29854 95.3798 0.185082 90.0585 0.819435 88.1789 0.627338 128.819 0.474321 114.678 0.185082 90.0585 0.819435 88.1789 0.627338 128.819 0.474321 114.678
2.78256e+07 23.2091 -57.6958 0 0 21.3218 -60.5968 0 0 0 0 0.571492 -89.9246 0 0 3.33408 -85.8297 23.2091 122.304 0 0 21.3218 119.403 0 0 0 0 0.571492 90.0754 0 0 3.33408 94.1703 0.143303 90.0252 0.638906 84.9024 0.530053 121.766 0.400822 104.843 0.143303 90.0252 0.638906 84.9024 0.530053 121.766 0.400822 104.843
3.59381e+07 19.0953 -63.916 0 0 17.3683 -66.4269 0 0 0 0 0.442486 -89.9416 0 0 2.5842 -86.7688 19.0953 116.084 0 0 17.3683 113.573 0 0 0 0 0.442486 90.0584 0 0 2.5842 93.2312 0.110954 89.9936 0.499479 81.3299 0.436113 115.389 0.333323 95.0284 0.110954 89.9936 0.499479 81.3299 0.436113 115.389 0.333323 95.0284
4.64159e+07 15.3927 -69.2413 0 0 13.9002 -71.3332 0 0 0 0 0.342601 -89.9548 0 0 2.00212 -87.4971 15.3927 110.759 0 0 13.9002 108.667 0 0 0 0 0.342601 90.0452 0 0 2.00212 92.5029 0.0859078 89.9615 0.392434 77.2757 0.351568 109.861 0.275632 85.2412 0.0859078 89.9615 0.392434 77.2757 0.351568 109.861 0.275632 85.2412
5.99484e+07 12.2296 -73.6442 0 0 10.9902 -75.3414 0 0 0 0 0.265263 -89.965 0 0 1.55076 -88.0616 12.2296 106.356 0 0 10.9902 104.659 0 0 0 0 0.265263 90.035 0 0 1.55076 91.9384 0.0665154 89.9269 0.310889 72.5685 0.279347 105.197 0.229147 75.4278 0.0665154 89.9269 0.310889 72.5685 0.279347 105.197 0.229147 75.4278
7.74264e+07 9.62301 -77.1981 0 0 8.62062 -78.5509 0 0 0 0 0.205384 -89.9729 0 0 1.20097 -88.499 9.62301 102.802 0 0 8.62062 101.449 0 0 0 0 0.205384 90.0271 0 0 1.20097 91.501 0.0515005 89.8875 0.249455 67.08 0.219837 101.305 0.193529 65.5921 0.0515005 89.8875 0.249455 67.08 0.219837 101.305 0.193529 65.5921
1e+08 7.52511 -80.0218 0 0 6.72793 -81.0881 0 0 0 0 0.159021 -89.979 0 0 0.929999 -88.8377 7.52511 99.9782 0 0 6.72793 98.9119 0 0 0 0 0.159021 90.021 0 0 0.929999 91.1623 0.0398751 89.8407 0.203903 60.7731 0.17195 98.0454 0.167459 55.8833 0.0398751 89.8407 0.203903 60.7731 0.17195 98.0454 0.167459 55.8833
